RUT,PERIODO,MATERIA,CURSO,CALIF
1,201920,DEC,273,6.2
1,201920,DEL,269,3.8
1,201920,DEF,341,6.1
1,201920,DERF,003,2.1
1,201920,DER,255,3.9
1,201922,DERL,506,5.8
1,201922,DERL,001,3.7
1,201922,DERC,006,1.5
1,201922,DMD,3141,4.8
1,201922,DERF,512,6.9
1,201922,DEC,273,4.9
1,202020,DMD,3151,4.9
1,202020,DEP,299,1.1
1,202020,DERL,809,1.4
1,202022,DEC,248,2.1
1,202022,DERP,505,4.6
1,202022,DEP,276,3.8
1,202022,DERL,510,4.5
1,202022,DERF,006,4.1
1,202022,DMD,3620,2.8
1,202022,DER,250,5.0
1,202120,DERL,504,4.9
1,202120,DERC,505,7.0
1,202120,DEC,242,5.2
1,202120,DERR,901,5.5
1,202120,DER,255,2.7
2,201920,DEF,345,4.4
2,201920,DERL,004,3.4
2,201920,DEF,353,3.3
2,201920,DEC,250,6.1
2,201920,DEF,312,2.3
2,201920,DED,254,3.8
2,201920,DEG,010,3.4
2,201922,DEE,211,4.4
2,201922,DERF,004,5.7
2,202020,DEL,316,3.0
2,202020,DERL,503,3.0
2,202020,DERS,601,5.5
2,202020,DERP,002,1.8
2,202020,DERG,604,1.6
2,202022,DEE,214,3.8
2,202022,DERC,621,2.1
2,202022,DERL,702,2.1
2,202022,DEF,341,2.1
2,202022,DMD,3126,5.6
2,202022,DERH,206,4.9
2,202120,DERP,001,3.4
2,202120,DEP,282,1.0
2,202120,DERR,502,2.8
2,202120,DEC,269,2.3
2,202120,DERL,808,7.0
2,202120,DERH,200,4.9
2,202120,DEM,297,1.3
3,201920,DERC,011,2.3
3,201920,DEC,265,1.1
3,201920,DERP,504,3.0
3,201920,DEE,219,3.3
3,201920,DEF,334,1.5
3,201920,DMD,3508,4.8
3,202120,DEC,266,4.6
3,202120,DES,261,4.7
4,202020,DERC,010,6.8
4,202020,DERC,615,6.0
4,202020,DERG,506,6.2
4,202020,DERH,402,4.8
4,202020,DERL,503,6.5
4,202022,DERP,504,2.5
4,202022,DERF,003,2.0
4,202120,DERC,622,6.6
4,202120,DERF,006,5.1
4,202120,DERS,501,6.3
4,202120,DERG,509,1.5
4,202120,DEL,268,1.6
4,202120,DES,260,4.1
4,202120,DERL,501,2.4
5,201922,DEL,280,3.3
5,201922,DERP,502,5.9
5,201922,DERL,806,3.9
5,201922,DERP,507,2.1
5,202020,DMD,3527,6.9
5,202020,DERL,005,2.4
5,202020,DERL,702,4.9
5,202020,DMD,3151,4.7
5,202020,DERH,303,2.3
5,202120,DERF,513,5.5
5,202120,DEF,345,2.6
5,202120,DET,028,2.5
6,201920,DEP,297,2.1
6,201920,DERL,701,4.2
6,201920,DERP,003,1.6
6,201922,DERN,001,6.3
6,201922,DEM,294,4.9
6,201922,DEP,295,4.1
6,202020,DERR,005,4.5
6,202020,DEM,271,3.8
6,202020,DERH,201,5.2
6,202020,DEZ,255,1.1
6,202020,DMD,3807,1.4
6,202022,DEP,298,5.4
6,202022,DERR,505,1.8
6,202120,DEE,211,1.5
6,202120,DMD,3402,3.2
7,201920,DEZ,256,6.4
7,201920,DES,264,5.4
7,201920,DERC,005,5.8
7,201920,DERC,608,3.1
7,201920,DEF,351,3.8
7,201920,DEL,265,6.2
7,201920,DMD,3430,6.7
7,202020,DEP,296,6.2
7,202020,DER,259,1.1
7,202020,DMD,3127,3.3
7,202022,DMD,3508,1.1
7,202022,DEF,313,1.5
7,202022,DMD,3620,1.7
7,202022,DERF,510,6.3
7,202022,DEG,014,3.0
7,202120,DMD,3930,5.2
7,202120,DERL,504,3.6
7,202120,DERR,510,1.5
8,201920,DEF,347,4.1
