RUT,ESCUELA,SEXO,PERIODO ADMISIÓN,SITUACIÓN ACADÉMICA
2,01 - Construcción Civil,M,201920,ABANDONA - Abandono de estudios
6,01 - Construcción Civil,F,201920,ELIMINADO - Eliminado
8,01 - Construcción Civil,M,201920,ABANDONA - Abandono de estudios
16,01 - Construcción Civil,M,201920,ELIMINADO - Eliminado
21,01 - Construcción Civil,M,201920,NOVIGCOMPERMA - No Vigente Com. Permanencia
23,01 - Construcción Civil,F,201920,ELIMINADO - Eliminado
28,01 - Construcción Civil,F,201920,ELIMINADO - Eliminado
31,01 - Construcción Civil,F,201920,ELIMINADO - Eliminado
36,01 - Construcción Civil,F,201920,RENUNCIADO - Renunciado
45,01 - Construcción Civil,F,201920,RENUNCIADO - Renunciado
49,01 - Construcción Civil,M,201920,ELIMINADO - Eliminado
52,01 - Construcción Civil,M,201920,ELIMINADO - Eliminado
55,01 - Construcción Civil,M,201920,ELIMINADO - Eliminado
56,01 - Construcción Civil,F,201920,NOVIGCOMPERMA - No Vigente Com. Permanencia
72,01 - Construcción Civil,F,201920,RENUNCIACOMPERM - Renuncia Com. Permanencia
75,01 - Construcción Civil,M,201920,ABANDONA - Abandono de estudios
77,01 - Construcción Civil,F,201920,NOVIGCOMPERMA - No Vigente Com. Permanencia
82,01 - Construcción Civil,M,201920,RENUNCIADO - Renunciado
