RUT,ESCUELA,SEXO,PERIODO ADMISIÓN,SITUACIÓN ACADÉMICA
1,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
3,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
4,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
5,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
7,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
9,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
10,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
11,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
12,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
13,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
14,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
15,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
17,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
18,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
19,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
20,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
22,01 - Construcción Civil,F,201920,ANULESTUDIOS - Anulación de estudios
24,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
25,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
26,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
27,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
29,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
30,01 - Construcción Civil,M,201920,SUSPESTUDIOS - Suspensión de estudios
32,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
33,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
34,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
35,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
37,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
38,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
39,01 - Construcción Civil,M,201920,SUSPSALUD - Suspensión por salud
40,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
41,01 - Construcción Civil,F,201920,SUSPSALUD - Suspensión por salud
42,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
43,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
44,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
46,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
47,01 - Construcción Civil,M,201920,SUSPSANCACADEM - Suspensión sanción académ.
48,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
50,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
51,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
53,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
54,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
57,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
58,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
59,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
60,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
61,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
62,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
63,01 - Construcción Civil,F,201920,SUSPESTUDIOS - Suspensión de estudios
64,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
65,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
66,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
67,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
68,01 - Construcción Civil,F,201920,SUSPSANCACADEM - Suspensión sanción académ.
69,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
70,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
71,01 - Construcción Civil,F,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
73,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
74,01 - Construcción Civil,F,201920,SUSPSANCACADEM - Suspensión sanción académ.
76,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
78,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
79,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
80,01 - Construcción Civil,F,201920,SUSPSALUD - Suspensión por salud
81,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
83,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
84,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
85,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
86,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
87,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
88,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
89,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
90,01 - Construcción Civil,F,201920,SUSPSANCACADEM - Suspensión sanción académ.
91,01 - Construcción Civil,F,201920,SUSPSALUD - Suspensión por salud
92,01 - Construcción Civil,M,201920,SUSPESTUDIOS - Suspensión de estudios
93,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
94,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
95,01 - Construcción Civil,M,201920,SUSPESTUDIOS - Suspensión de estudios
96,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
97,01 - Construcción Civil,F,201920,INPROGRESS - En progreso
98,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
99,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
100,01 - Construcción Civil,M,201920,INPROGRESS - En progreso
