RUT,ESCUELA,SEXO,PERIODO ADMISIÓN,SITUACIÓN ACADÉMICA
1,17 - Derecho,F,201920,INPROGRESS - En progreso
2,17 - Derecho,M,201920,INPROGRESS - En progreso
3,17 - Derecho,M,201920,INPROGRESS - En progreso
4,17 - Derecho,M,201920,INPROGRESS - En progreso
5,17 - Derecho,F,201920,INPROGRESS - En progreso
6,17 - Derecho,F,201920,INPROGRESS - En progreso
7,17 - Derecho,M,201920,INPROGRESS - En progreso
8,17 - Derecho,M,201920,INPROGRESS - En progreso
9,17 - Derecho,M,201920,INPROGRESS - En progreso
10,17 - Derecho,F,201920,INPROGRESS - En progreso
11,17 - Derecho,M,201920,INPROGRESS - En progreso
12,17 - Derecho,F,201920,INPROGRESS - En progreso
13,17 - Derecho,M,201920,INPROGRESS - En progreso
14,17 - Derecho,M,201920,INPROGRESS - En progreso
15,17 - Derecho,M,201920,INPROGRESS - En progreso
16,17 - Derecho,F,201920,INPROGRESS - En progreso
18,17 - Derecho,M,201920,INPROGRESS - En progreso
20,17 - Derecho,M,201920,SUSPSANCACADEM - Suspensión sanción académ.
22,17 - Derecho,F,201920,SUSPSANCACADEM - Suspensión sanción académ.
23,17 - Derecho,F,201920,INPROGRESS - En progreso
24,17 - Derecho,M,201920,INPROGRESS - En progreso
25,17 - Derecho,M,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
26,17 - Derecho,M,201920,INPROGRESS - En progreso
28,17 - Derecho,F,201920,INPROGRESS - En progreso
29,17 - Derecho,M,201920,INPROGRESS - En progreso
31,17 - Derecho,M,201920,INPROGRESS - En progreso
32,17 - Derecho,F,201920,INPROGRESS - En progreso
33,17 - Derecho,F,201920,INPROGRESS - En progreso
34,17 - Derecho,F,201920,INPROGRESS - En progreso
36,17 - Derecho,M,201920,INPROGRESS - En progreso
37,17 - Derecho,F,201920,INPROGRESS - En progreso
38,17 - Derecho,M,201920,INPROGRESS - En progreso
41,17 - Derecho,M,201920,SUSPESTCOMPERMA - Susp. Estudios Com.Permanencia
43,17 - Derecho,F,201920,INPROGRESS - En progreso
44,17 - Derecho,F,201920,INPROGRESS - En progreso
45,17 - Derecho,F,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
46,17 - Derecho,F,201920,INPROGRESS - En progreso
47,17 - Derecho,F,201920,INPROGRESS - En progreso
48,17 - Derecho,M,201920,INPROGRESS - En progreso
50,17 - Derecho,M,201920,SUSPESTCOMPERMA - Susp. Estudios Com.Permanencia
51,17 - Derecho,M,201920,INPROGRESS - En progreso
53,17 - Derecho,M,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
54,17 - Derecho,M,201920,INPROGRESS - En progreso
57,17 - Derecho,F,201920,INPROGRESS - En progreso
60,17 - Derecho,F,201920,INPROGRESS - En progreso
61,17 - Derecho,F,201920,INPROGRESS - En progreso
62,17 - Derecho,M,201920,INPROGRESS - En progreso
63,17 - Derecho,M,201920,INPROGRESS - En progreso
64,17 - Derecho,M,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
65,17 - Derecho,F,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
66,17 - Derecho,F,201920,INPROGRESS - En progreso
67,17 - Derecho,F,201920,INPROGRESS - En progreso
68,17 - Derecho,F,201920,INPROGRESS - En progreso
69,17 - Derecho,M,201920,SUSPESTCOMPERMA - Susp. Estudios Com.Permanencia
71,17 - Derecho,F,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
73,17 - Derecho,F,201920,SUSPESTCOMPERMA - Susp. Estudios Com.Permanencia
74,17 - Derecho,F,201920,INPROGRESS - En progreso
75,17 - Derecho,M,201920,INPROGRESS - En progreso
78,17 - Derecho,F,201920,INPROGRESS - En progreso
79,17 - Derecho,M,201920,SUSPESTCOMPERMA - Susp. Estudios Com.Permanencia
80,17 - Derecho,F,201920,INPROGRESS - En progreso
81,17 - Derecho,M,201920,INPROGRESS - En progreso
82,17 - Derecho,F,201920,INPROGRESS - En progreso
83,17 - Derecho,F,201920,SUSPSALUD - Suspensión por salud
84,17 - Derecho,F,201920,INPROGRESS - En progreso
85,17 - Derecho,M,201920,SUSPESTCOMPERMA - Susp. Estudios Com.Permanencia
86,17 - Derecho,F,201920,INPROGRESS - En progreso
87,17 - Derecho,M,201920,INPROGRESS - En progreso
88,17 - Derecho,F,201920,INPROGRESS - En progreso
89,17 - Derecho,M,201920,INPROGRESS - En progreso
92,17 - Derecho,F,201920,INPROGRESS - En progreso
93,17 - Derecho,M,201920,ANULESTUDIOS - Anulación de estudios
94,17 - Derecho,F,201920,SUSPFUERZMAYOR - Suspensión por fuerza mayor
96,17 - Derecho,M,201920,INPROGRESS - En progreso
98,17 - Derecho,F,201920,INPROGRESS - En progreso
99,17 - Derecho,F,201920,SUSPESTCOMPERMA - Susp. Estudios Com.Permanencia
100,17 - Derecho,F,201920,INPROGRESS - En progreso
