RUT,ESCUELA,ESTADO CIVIL,NOMBRE DEPENDENCIA EDUCACIONAL,SISTEMA DE SALUD,VIVE CON,REGIÓN
1,17 - Derecho,S - Soltero,Particular Pagado,Isapre Ing Salud S.A.,Otros,XIV R. de los Rios
2,17 - Derecho,D - Divorciado,Particular Subvencionado,,Otros parientes,XI R. de Aysen del G.C.Ibañez
3,17 - Derecho,S - Soltero,Particular Pagado,Otra Institución,Solo (Independiente),IV R. de Coquimbo
4,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre San Lorenzo Ltda.,Institucion,No tiene
5,17 - Derecho,C - Casado,Particular Pagado,Isapre Ing Salud S.A.,Otros,V R. de Valparaíso
6,17 - Derecho,S - Soltero,Particular Subvencionado,,Solo con mi padre,XII R. de Magallanes y La Anta
7,17 - Derecho,S - Soltero,Particular Pagado,Isapre Vida Tres S.A.,Institucion,VI R. del L.B.OHiggins
8,17 - Derecho,C - Casado,Particular Pagado,Sin Prevision,Solo con mi padre,II R. de Antofagasta
9,17 - Derecho,C - Casado,Particular Pagado,Isapre Ing Salud S.A.,Solo con mi madre,XVI R. de Ñuble
10,17 - Derecho,S - Soltero,Particular Subvencionado,Isapre Ing Salud S.A.,"Con pareja (conyuge, conviv.)",X R. de los Lagos
11,17 - Derecho,S - Soltero,Particular Pagado,Isapre Ing Salud S.A.,Ambos Padres,VII R. del Maule
12,17 - Derecho,D - Divorciado,Particular Pagado,Fonasa,Hogar de menores,XI R. de Aysen del G.C.Ibañez
13,17 - Derecho,,Particular Pagado,Isapre Ing Salud S.A.,Uno De Los Padres,X R. de los Lagos
14,17 - Derecho,,Particular Pagado,Isapre Vida Tres S.A.,,XI R. de Aysen del G.C.Ibañez
15,17 - Derecho,U - Acuerdo de Unión Civil,Municipal,Sin Prevision,No Tiene,XVI R. de Ñuble
16,17 - Derecho,D - Divorciado,Particular Subvencionado,Isapre Chuquicamata,Solo,XIV R. de los Rios
17,17 - Derecho,D - Divorciado,Municipal,Fonasa,El Conyuge,IX R. de la Araucanía
18,17 - Derecho,D - Divorciado,Particular Subvencionado,Isapre Alemana Salud S.A.,Uno De Los Padres,I R. de Tarapaca
19,17 - Derecho,C - Casado,Particular Pagado,Isapre Ing Salud S.A.,"Con pareja (conyuge, conviv.)",V R. de Valparaíso
20,17 - Derecho,,Particular Pagado,Isapre San Lorenzo Ltda.,Uno De Los Padres,No tiene
21,17 - Derecho,,Particular Pagado,Isapre Rio Blanco Ltda.,Solo con mi padre,XIV R. de los Rios
22,17 - Derecho,,Municipal,Isapre Alemana Salud S.A.,Solo con mi padre,XV R. de Arica y Parinacota
23,17 - Derecho,D - Divorciado,Particular Pagado,Capredena,"Con pareja (conyuge, conviv.)",XI R. de Aysen del G.C.Ibañez
24,17 - Derecho,D - Divorciado,Particular Pagado,Capredena,Solo con mi padre,XIII R. Metropolitana
25,17 - Derecho,S - Soltero,Particular Pagado,Isapre Cruz Blanca S.A.,Uno De Los Padres,V R. de Valparaíso
26,17 - Derecho,,Particular Pagado,Isapre Ing Salud S.A.,Uno De Los Padres,II R. de Antofagasta
27,17 - Derecho,,Particular Pagado,Isapre Colmena Golden Cross SA,No Tiene,IX R. de la Araucanía
28,17 - Derecho,C - Casado,Municipal,Isapre Rio Blanco Ltda.,"Con pareja (conyuge, conviv.)",XI R. de Aysen del G.C.Ibañez
29,17 - Derecho,C - Casado,Particular Pagado,Isapre Colmena Golden Cross SA,,
30,17 - Derecho,C - Casado,Particular Subvencionado,Isapre Cruz Blanca S.A.,,VI R. del L.B.OHiggins
31,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Rio Blanco Ltda.,El Conyuge,VII R. del Maule
32,17 - Derecho,C - Casado,Particular Subvencionado,Isapre Colmena Golden Cross SA,Institucion,XIV R. de los Rios
33,17 - Derecho,C - Casado,Particular Pagado,Fonasa,Institucion,
34,17 - Derecho,C - Casado,Particular Subvencionado,Isapre Rio Blanco Ltda.,El Conyuge,XI R. de Aysen del G.C.Ibañez
35,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Rio Blanco Ltda.,Institucion,XIV R. de los Rios
36,17 - Derecho,C - Casado,Particular Pagado,Capredena,Con ambos padres,III R. de Atacama
