RUT,ESCUELA,TIPO ADMISIÓN,PUNTAJE NOTA ENSEÑANZA MEDIA,RANKING,PUNTAJE SELECCIÓN,PREFERENCIA,PUESTO
1,01 - Construcción Civil,60 - PSU,530,357,464,1,549
2,01 - Construcción Civil,60 - PSU,14,437,200,2,286
3,01 - Construcción Civil,60 - PSU,659,244,75,1,568
4,01 - Construcción Civil,60 - PSU,451,775,502,1,73
5,01 - Construcción Civil,60 - PSU,508,57,789,1,815
6,01 - Construcción Civil,60 - PSU,155,374,182,1,341
7,01 - Construcción Civil,60 - PSU,37,354,224,2,120
8,01 - Construcción Civil,60 - PSU,426,186,629,2,31
9,01 - Construcción Civil,60 - PSU,698,631,476,2,73
10,01 - Construcción Civil,12 - Talentos e Inclusión,90,664,211,2,897
11,01 - Construcción Civil,60 - PSU,745,201,573,2,387
12,01 - Construcción Civil,60 - PSU,15,347,716,2,864
13,01 - Construcción Civil,60 - PSU,644,285,674,1,711
14,01 - Construcción Civil,60 - PSU,214,185,784,1,175
15,01 - Construcción Civil,60 - PSU,710,594,477,1,132
16,01 - Construcción Civil,60 - PSU,284,118,264,2,624
17,01 - Construcción Civil,60 - PSU,637,366,314,1,8
18,01 - Construcción Civil,60 - PSU,70,708,210,2,891
19,01 - Construcción Civil,60 - PSU,317,788,418,1,149
20,01 - Construcción Civil,60 - PSU,73,646,272,2,383
21,01 - Construcción Civil,60 - PSU,627,418,285,2,136
22,01 - Construcción Civil,60 - PSU,518,126,97,2,526
23,01 - Construcción Civil,60 - PSU,720,427,240,2,593
24,01 - Construcción Civil,60 - PSU,120,291,126,2,874
25,01 - Construcción Civil,60 - PSU,80,692,663,2,231
26,01 - Construcción Civil,60 - PSU,488,396,203,2,615
27,01 - Construcción Civil,60 - PSU,225,459,655,1,375
28,01 - Construcción Civil,56 - PACE,429,341,288,2,674
29,01 - Construcción Civil,60 - PSU,274,299,677,1,688
30,01 - Construcción Civil,60 - PSU,625,250,15,2,383
31,01 - Construcción Civil,60 - PSU,135,607,257,2,430
32,01 - Construcción Civil,60 - PSU,285,349,104,1,559
33,01 - Construcción Civil,60 - PSU,673,101,464,1,90
34,01 - Construcción Civil,60 - PSU,372,16,383,1,740
35,01 - Construcción Civil,60 - PSU,604,685,714,2,835
36,01 - Construcción Civil,60 - PSU,23,684,648,1,480
37,01 - Construcción Civil,60 - PSU,74,370,174,2,517
38,01 - Construcción Civil,60 - PSU,323,491,686,1,227
39,01 - Construcción Civil,60 - PSU,21,404,443,1,665
40,01 - Construcción Civil,60 - PSU,554,717,112,1,68
41,01 - Construcción Civil,60 - PSU,473,671,410,1,530
42,01 - Construcción Civil,60 - PSU,598,214,509,2,850
43,01 - Construcción Civil,60 - PSU,146,527,404,1,759
44,01 - Construcción Civil,60 - PSU,85,3,170,2,679
45,01 - Construcción Civil,60 - PSU,748,485,794,1,443
46,01 - Construcción Civil,60 - PSU,479,159,16,2,880
47,01 - Construcción Civil,60 - PSU,374,24,111,2,422
48,01 - Construcción Civil,56 - PACE,548,574,546,1,794
49,01 - Construcción Civil,60 - PSU,96,308,519,1,69
50,01 - Construcción Civil,60 - PSU,581,243,132,1,521
51,01 - Construcción Civil,60 - PSU,524,315,301,2,796
