RUT,PERIODO ADMISIÓN,PERIODO ACADÉMICO,SITUACIÓN ACADÉMICA POR SEM,PPS,PPA,CRED INSCR PER,CRED APROB PER,CRED REPRO PER,CRED INSCR ACUM,CRED APROB ACUM,CRED REPRO ACUM
17,201920,201920,INPROGRESS - En progreso,3.07,3.07,55,5,50,55,5,50
17,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,3.07,0,0,0,55,5,50
17,201920,202020,INPROGRESS - En progreso,2.83,2.95,55,0,55,110,5,105
19,201920,201920,INPROGRESS - En progreso,6.36,6.36,60,45,15,60,45,15
19,201920,201922,INPROGRESS - En progreso,2.75,4.55,65,0,65,125,45,80
19,201920,202020,INPROGRESS - En progreso,3.53,4.21,10,0,10,135,45,90
19,201920,202022,INPROGRESS - En progreso,4.06,4.17,50,45,5,185,90,95
21,201920,201920,INPROGRESS - En progreso,2.72,2.72,60,10,50,60,10,50
21,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,2.72,0,0,0,60,10,50
21,201920,202020,INPROGRESS - En progreso,2.71,2.71,40,10,30,100,20,80
21,201920,202022,INPROGRESS - En progreso,3.54,2.99,35,0,35,135,20,115
27,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
27,201920,201922,INPROGRESS - En progreso,3.25,3.25,40,5,35,40,5,35
27,201920,202020,INPROGRESS - En progreso,4.23,3.74,60,50,10,100,55,45
27,201920,202022,INPROGRESS - En progreso,4.18,3.89,50,45,5,150,100,50
30,201920,201920,INPROGRESS - En progreso,2.92,2.92,55,5,50,55,5,50
30,201920,201922,INPROGRESS - En progreso,2.49,2.71,25,0,25,80,5,75
35,201920,201920,INPROGRESS - En progreso,6.32,6.32,60,45,15,60,45,15
35,201920,201922,INPROGRESS - En progreso,3.81,5.07,55,0,55,115,45,70
39,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
40,201920,201920,INPROGRESS - En progreso,3.0,3.0,65,5,60,65,5,60
40,201920,201922,INPROGRESS - En progreso,4.04,3.52,55,35,20,120,40,80
40,201920,202020,INPROGRESS - En progreso,3.21,3.42,60,5,55,180,45,135
40,201920,202022,INPROGRESS - En progreso,4.0,3.56,10,10,0,190,55,135
42,201920,201920,INPROGRESS - En progreso,2.58,2.58,15,0,15,15,0,15
42,201920,201922,INPROGRESS - En progreso,3.07,2.83,20,0,20,35,0,35
49,201920,201920,INPROGRESS - En progreso,5.99,5.99,10,10,0,10,10,0
49,201920,201922,INPROGRESS - En progreso,3.65,4.82,25,5,20,35,15,20
49,201920,202020,INPROGRESS - En progreso,4.09,4.58,50,35,15,85,50,35
52,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
52,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
52,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
52,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
52,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
55,201920,201920,INPROGRESS - En progreso,3.34,3.34,45,0,45,45,0,45
55,201920,201922,INPROGRESS - En progreso,4.3,3.82,10,10,0,55,10,45
55,201920,202020,INPROGRESS - En progreso,2.49,3.38,25,5,20,80,15,65
