RUT,PERIODO ADMISIÓN,PERIODO ACADÉMICO,SITUACIÓN ACADÉMICA POR SEM,PPS,PPA,CRED INSCR PER,CRED APROB PER,CRED REPRO PER,CRED INSCR ACUM,CRED APROB ACUM,CRED REPRO ACUM
1,201920,201920,INPROGRESS - En progreso,3.4,3.4,20,0,20,20,0,20
1,201920,201922,INPROGRESS - En progreso,5.14,4.27,55,40,15,75,40,35
1,201920,202020,INPROGRESS - En progreso,2.71,3.75,65,10,55,140,50,90
1,201920,202022,INPROGRESS - En progreso,2.42,3.42,25,0,25,165,50,115
1,201920,202120,INPROGRESS - En progreso,6.5,4.03,65,45,20,230,95,135
2,201920,201920,INPROGRESS - En progreso,3.22,3.22,65,5,60,65,5,60
3,201920,201920,INPROGRESS - En progreso,2.75,2.75,60,5,55,60,5,55
3,201920,201922,INPROGRESS - En progreso,4.73,3.74,40,40,0,100,45,55
3,201920,202020,INPROGRESS - En progreso,3.07,3.52,40,5,35,140,50,90
3,201920,202022,INPROGRESS - En progreso,2.52,3.27,60,5,55,200,55,145
3,201920,202120,INPROGRESS - En progreso,2.1,3.03,25,5,20,225,60,165
4,201920,201920,INPROGRESS - En progreso,2.85,2.85,40,5,35,40,5,35
4,201920,201922,INPROGRESS - En progreso,4.74,3.79,30,30,0,70,35,35
4,201920,202020,INPROGRESS - En progreso,2.21,3.27,55,5,50,125,40,85
4,201920,202022,INPROGRESS - En progreso,4.91,3.68,10,10,0,135,50,85
4,201920,202120,INPROGRESS - En progreso,2.61,3.46,30,5,25,165,55,110
5,201920,201920,INPROGRESS - En progreso,2.52,2.52,60,10,50,60,10,50
5,201920,201922,INPROGRESS - En progreso,1.94,2.23,15,5,10,75,15,60
5,201920,202020,INPROGRESS - En progreso,2.72,2.39,65,5,60,140,20,120
5,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,2.39,0,0,0,140,20,120
5,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,2.39,0,0,0,140,20,120
6,201920,201920,INPROGRESS - En progreso,3.24,3.24,45,0,45,45,0,45
6,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,3.24,0,0,0,45,0,45
6,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,3.24,0,0,0,45,0,45
7,201920,201920,INPROGRESS - En progreso,3.19,3.19,60,5,55,60,5,55
7,201920,201922,INPROGRESS - En progreso,5.33,4.26,40,35,5,100,40,60
7,201920,202020,INPROGRESS - En progreso,3.34,3.95,65,5,60,165,45,120
7,201920,202022,INPROGRESS - En progreso,5.8,4.42,20,15,5,185,60,125
7,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.42,0,0,0,185,60,125
8,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
8,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
8,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
9,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
9,201920,201922,INPROGRESS - En progreso,2.94,2.94,10,0,10,10,0,10
9,201920,202020,INPROGRESS - En progreso,1.86,2.4,60,5,55,70,5,65
9,201920,202022,INPROGRESS - En progreso,2.37,2.39,45,0,45,115,5,110
9,201920,202120,INPROGRESS - En progreso,2.56,2.43,10,0,10,125,5,120
10,201920,201920,INPROGRESS - En progreso,3.31,3.31,30,5,25,30,5,25
10,201920,201922,INPROGRESS - En progreso,2.09,2.7,45,0,45,75,5,70
10,201920,202020,INPROGRESS - En progreso,6.95,4.12,40,35,5,115,40,75
10,201920,202022,INPROGRESS - En progreso,3.11,3.87,50,5,45,165,45,120
10,201920,202120,INPROGRESS - En progreso,2.29,3.55,55,5,50,220,50,170
11,201920,201920,INPROGRESS - En progreso,2.23,2.23,25,5,20,25,5,20
11,201920,201922,INPROGRESS - En progreso,6.97,4.6,45,40,5,70,45,25
11,201920,202020,INPROGRESS - En progreso,2.06,3.75,10,0,10,80,45,35
11,201920,202022,INPROGRESS - En progreso,1.71,3.24,15,0,15,95,45,50
11,201920,202120,INPROGRESS - En progreso,5.52,3.7,30,20,10,125,65,60
12,201920,201920,INPROGRESS - En progreso,1.25,1.25,25,0,25,25,0,25
12,201920,201922,INPROGRESS - En progreso,1.07,1.16,50,5,45,75,5,70
12,201920,202020,INPROGRESS - En progreso,5.75,2.69,65,55,10,140,60,80
12,201920,202022,INPROGRESS - En progreso,5.82,3.47,60,55,5,200,115,85
12,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.47,0,0,0,200,115,85
13,201920,201920,INPROGRESS - En progreso,3.41,3.41,65,5,60,65,5,60
13,201920,201922,INPROGRESS - En progreso,1.14,2.27,55,0,55,120,5,115
13,201920,202020,INPROGRESS - En progreso,3.33,2.63,35,5,30,155,10,145
13,201920,202022,INPROGRESS - En progreso,5.86,3.44,35,30,5,190,40,150
13,201920,202120,INPROGRESS - En progreso,3.12,3.37,30,0,30,220,40,180
14,201920,201920,INPROGRESS - En progreso,4.57,4.57,30,25,5,30,25,5
14,201920,201922,INPROGRESS - En progreso,2.27,3.42,65,0,65,95,25,70
14,201920,202020,INPROGRESS - En progreso,5.08,3.97,20,15,5,115,40,75
14,201920,202022,INPROGRESS - En progreso,1.86,3.44,35,0,35,150,40,110
14,201920,202120,INPROGRESS - En progreso,1.06,2.97,50,0,50,200,40,160
15,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
15,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
15,201920,202020,INPROGRESS - En progreso,1.12,1.12,20,0,20,20,0,20
15,201920,202022,INPROGRESS - En progreso,1.65,1.39,35,5,30,55,5,50
15,201920,202120,INPROGRESS - En progreso,4.0,2.26,65,60,5,120,65,55
16,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
16,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
16,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
16,201920,202022,INPROGRESS - En progreso,4.05,4.05,50,50,0,50,50,0
18,201920,201920,INPROGRESS - En progreso,2.73,2.73,40,5,35,40,5,35
18,201920,201922,INPROGRESS - En progreso,1.26,2.0,10,0,10,50,5,45
18,201920,202020,INPROGRESS - En progreso,3.68,2.56,55,0,55,105,5,100
18,201920,202022,INPROGRESS - En progreso,6.59,3.56,20,15,5,125,20,105
18,201920,202120,INPROGRESS - En progreso,6.96,4.24,65,55,10,190,75,115
20,201920,201920,INPROGRESS - En progreso,2.76,2.76,35,5,30,35,5,30
20,201920,201922,INPROGRESS - En progreso,1.09,1.92,40,0,40,75,5,70
20,201920,202020,INPROGRESS - En progreso,6.77,3.54,25,15,10,100,20,80
20,201920,202022,INPROGRESS - En progreso,3.64,3.56,45,10,35,145,30,115
20,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.56,0,0,0,145,30,115
22,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
22,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
22,201920,202020,INPROGRESS - En progreso,4.69,4.69,10,10,0,10,10,0
22,201920,202022,INPROGRESS - En progreso,3.79,4.24,45,0,45,55,10,45
22,201920,202120,INPROGRESS - En progreso,4.19,4.22,35,35,0,90,45,45
23,201920,201920,INPROGRESS - En progreso,2.83,2.83,40,5,35,40,5,35
23,201920,201922,INPROGRESS - En progreso,3.9,3.37,60,10,50,100,15,85
23,201920,202020,INPROGRESS - En progreso,2.58,3.1,25,0,25,125,15,110
23,201920,202022,INPROGRESS - En progreso,2.43,2.94,55,5,50,180,20,160
24,201920,201920,INPROGRESS - En progreso,2.29,2.29,30,5,25,30,5,25
24,201920,201922,INPROGRESS - En progreso,4.74,3.52,30,20,10,60,25,35
24,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,3.52,0,0,0,60,25,35
24,201920,202022,INPROGRESS - En progreso,5.42,4.15,35,35,0,95,60,35
24,201920,202120,INPROGRESS - En progreso,2.2,3.66,15,0,15,110,60,50
