RUT,PERIODO ADMISIÓN,PERIODO ACADÉMICO,SITUACIÓN ACADÉMICA POR SEM,PPS,PPA,CRED INSCR PER,CRED APROB PER,CRED REPRO PER,CRED INSCR ACUM,CRED APROB ACUM,CRED REPRO ACUM
1,201920,201920,INPROGRESS - En progreso,6.19,6.19,45,35,10,45,35,10
1,201920,201922,INPROGRESS - En progreso,2.14,4.17,50,5,45,95,40,55
1,201920,202020,INPROGRESS - En progreso,5.76,4.7,15,10,5,110,50,60
1,201920,202022,INPROGRESS - En progreso,1.54,3.91,65,10,55,175,60,115
1,201920,202120,INPROGRESS - En progreso,6.89,4.5,45,40,5,220,100,120
2,201920,201920,INPROGRESS - En progreso,2.97,2.97,55,0,55,55,0,55
2,201920,201922,INPROGRESS - En progreso,1.38,2.17,10,0,10,65,0,65
2,201920,202020,INPROGRESS - En progreso,4.6,2.98,45,35,10,110,35,75
2,201920,202022,INPROGRESS - En progreso,6.05,3.75,50,35,15,160,70,90
2,201920,202120,INPROGRESS - En progreso,4.0,3.8,60,40,20,220,110,110
3,201920,201920,INPROGRESS - En progreso,3.44,3.44,50,10,40,50,10,40
3,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,3.44,0,0,0,50,10,40
3,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,3.44,0,0,0,50,10,40
3,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.44,0,0,0,50,10,40
3,201920,202120,INPROGRESS - En progreso,4.08,3.76,10,5,5,60,15,45
4,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
4,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
4,201920,202020,INPROGRESS - En progreso,6.08,6.08,40,25,15,40,25,15
4,201920,202022,INPROGRESS - En progreso,6.08,6.08,10,5,5,50,30,20
4,201920,202120,INPROGRESS - En progreso,3.82,5.33,65,5,60,115,35,80
5,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
5,201920,201922,INPROGRESS - En progreso,5.67,5.67,30,25,5,30,25,5
