Rut,Actividad,Timestamp,Tipo alerta,Alerta real,Tipo revisión,PPA,PPS,Periodo admisión,Tipo admisión,Sexo,Vigencia,Región,Establecimiento educacional,Ptj NEM,Ptj Ranking,Ptj Selección,Preferencia,Puesto ingreso,Estado Civil,Vive con,Sistema de Salud
1,Alert semester 1,01-2019,"28a,28b",True,,3.4,3.4,201920,60 - PSU,F,Vigente,XII R. de Magallanes y La Anta,Municipal,530,357,464,1,549,C - Casado,Otros,Isapre Ing Salud S.A.
1,No Alert semester 2,08-2019,,,,4.27,5.14,,,,,,,,,,,,,,
1,Alert semester 3,01-2020,28e,True,,3.75,2.71,,,,,,,,,,,,,,
1,Alert semester 4,08-2020,28e,True,,3.42,2.42,,,,,,,,,,,,,,
1,No Alert semester 5,01-2021,,,,4.03,6.5,,,,,,,,,,,,,,
1,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
2,Alert semester 1,01-2019,"28a,28b",True,,3.22,3.22,201920,60 - PSU,M,No vigente,XIV R. de los Rios,Particular Subvencionado,14,437,200,2,286,C - Casado,Hogar de menores,Isapre Fund Salud Trab BcoEsta
2,Dropout,07-2019,,,,,,,,,,,,,,,,,,,
3,Alert semester 1,01-2019,"28a,28b",True,,2.75,2.75,201920,60 - PSU,M,Vigente,IV R. de Coquimbo,Particular Subvencionado,659,244,75,1,568,S - Soltero,Solo,
3,Alert semester 2,08-2019,28c,True,,3.74,4.73,,,,,,,,,,,,,,
3,Alert semester 3,01-2020,28e,True,,3.52,3.07,,,,,,,,,,,,,,
3,Alert semester 4,08-2020,28e,True,,3.27,2.52,,,,,,,,,,,,,,
3,Alert semester 5,01-2021,28e,True,,3.03,2.1,,,,,,,,,,,,,,
3,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
4,Alert semester 1,01-2019,"28a,28b",True,,2.85,2.85,201920,60 - PSU,F,Vigente,XVI R. de Ñuble,Particular Subvencionado,451,775,502,1,73,,Otros parientes,Isapre Consalud
4,Alert semester 2,08-2019,28c,True,,3.79,4.74,,,,,,,,,,,,,,
