Rut,Actividad,Timestamp,Tipo alerta,Alerta real,Tipo revisión,PPA,PPS,Periodo admisión,Tipo admisión,Sexo,Vigencia,Región,Establecimiento educacional,Ptj NEM,Ptj Ranking,Ptj Selección,Preferencia,Puesto ingreso,Estado Civil,Vive con,Sistema de Salud
1,No Alert semester 1,01-2019,,,,6.19,6.19,201920,60 - PSU,F,Vigente,XIV R. de los Rios,Particular Pagado,152,131,84,2,276,S - Soltero,Otros,Isapre Ing Salud S.A.
1,No Alert semester 2,08-2019,,,,4.17,2.14,,,,,,,,,,,,,,
1,No Alert semester 3,01-2020,,,,4.7,5.76,,,,,,,,,,,,,,
1,Alert semester 4,08-2020,28e,True,,3.91,1.54,,,,,,,,,,,,,,
1,No Alert semester 5,01-2021,,,,4.5,6.89,,,,,,,,,,,,,,
1,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
2,Alert semester 1,01-2019,"28a,28b",True,,2.97,2.97,201920,60 - PSU,M,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Subvencionado,629,733,540,1,491,D - Divorciado,Otros parientes,
2,Alert semester 2,08-2019,"28c,28d",True,,2.17,1.38,,,,,,,,,,,,,,
2,Alert semester 3,01-2020,28e,True,,2.98,4.6,,,,,,,,,,,,,,
2,Alert semester 4,08-2020,28e,True,,3.75,6.05,,,,,,,,,,,,,,
2,Alert semester 5,01-2021,28e,True,,3.8,4.0,,,,,,,,,,,,,,
2,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
3,Alert semester 1,01-2019,"28a,28b",True,,3.44,3.44,201920,60 - PSU,M,Vigente,IV R. de Coquimbo,Particular Pagado,710,479,84,2,19,S - Soltero,Solo (Independiente),Otra Institución
3,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
3,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
3,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
3,Alert semester 5,01-2021,"28c,28d",True,,3.76,4.08,,,,,,,,,,,,,,
3,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
4,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,Vigente,No tiene,Particular Pagado,192,426,197,1,800,U - Acuerdo de Unión Civil,Institucion,Isapre San Lorenzo Ltda.
4,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
4,No Alert semester 3,01-2020,,,,6.08,6.08,,,,,,,,,,,,,,
4,No Alert semester 4,08-2020,,,,6.08,6.08,,,,,,,,,,,,,,
4,No Alert semester 5,01-2021,,,,5.33,3.82,,,,,,,,,,,,,,
4,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
5,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,V R. de Valparaíso,Particular Pagado,450,213,38,2,538,C - Casado,Otros,Isapre Ing Salud S.A.
5,No Alert semester 2,08-2019,,,,5.67,5.67,,,,,,,,,,,,,,
5,No Alert semester 3,01-2020,,,,4.33,3.0,,,,,,,,,,,,,,
5,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
5,Alert semester 5,01-2021,28e,True,,3.72,2.48,,,,,,,,,,,,,,
5,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
6,Alert semester 1,01-2019,"28a,28b",True,,3.19,3.19,201920,18 - Beca Excelencia Académica,F,Vigente,XII R. de Magallanes y La Anta,Particular Subvencionado,506,161,318,2,318,S - Soltero,Solo con mi padre,
6,Alert semester 2,08-2019,"28c,28d",True,,3.44,3.68,,,,,,,,,,,,,,
6,Alert semester 3,01-2020,28e,True,,3.46,3.52,,,,,,,,,,,,,,
6,No Alert semester 4,08-2020,,,,4.33,6.94,,,,,,,,,,,,,,
6,No Alert semester 5,01-2021,,,,4.03,2.82,,,,,,,,,,,,,,
6,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
7,No Alert semester 1,01-2019,,,,6.98,6.98,201920,60 - PSU,M,Vigente,VI R. del L.B.OHiggins,Particular Pagado,415,77,569,2,478,S - Soltero,Institucion,Isapre Vida Tres S.A.
7,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
7,No Alert semester 3,01-2020,,,,6.96,6.94,,,,,,,,,,,,,,
7,No Alert semester 4,08-2020,,,,6.52,5.64,,,,,,,,,,,,,,
7,No Alert semester 5,01-2021,,,,5.25,1.44,,,,,,,,,,,,,,
7,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
8,Alert semester 1,01-2019,"28a,28b",True,,1.09,1.09,201920,60 - PSU,M,Vigente,II R. de Antofagasta,Particular Pagado,683,732,68,2,76,C - Casado,Solo con mi padre,Sin Prevision
8,Alert semester 2,08-2019,"28c,28d",True,,1.43,1.76,,,,,,,,,,,,,,
8,Alert semester 3,01-2020,28e,True,,1.55,1.81,,,,,,,,,,,,,,
8,Alert semester 4,08-2020,28e,True,,1.88,2.86,,,,,,,,,,,,,,
8,Alert semester 5,01-2021,28e,True,,2.57,5.35,,,,,,,,,,,,,,
8,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
9,Alert semester 1,01-2019,"28a,28b",True,,2.18,2.18,201920,60 - PSU,M,Vigente,XVI R. de Ñuble,Particular Pagado,703,143,108,2,692,C - Casado,Solo con mi madre,Isapre Ing Salud S.A.
9,Alert semester 2,08-2019,"28c,28d",True,,1.83,1.47,,,,,,,,,,,,,,
9,Alert semester 3,01-2020,28e,True,,2.57,4.07,,,,,,,,,,,,,,
9,Alert semester 4,08-2020,28e,True,,2.57,2.54,,,,,,,,,,,,,,
9,Alert semester 5,01-2021,28e,True,,2.46,2.05,,,,,,,,,,,,,,
9,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
10,Alert semester 1,01-2019,"28a,28b",True,,2.17,2.17,201920,12 - Talentos e Inclusión,F,Vigente,X R. de los Lagos,Particular Subvencionado,472,764,124,2,12,S - Soltero,"Con pareja (conyuge, conviv.)",Isapre Ing Salud S.A.
10,Alert semester 2,08-2019,"28c,28d",True,,3.43,4.69,,,,,,,,,,,,,,
10,No Alert semester 3,01-2020,,,,4.12,5.49,,,,,,,,,,,,,,
10,Alert semester 4,08-2020,28e,True,,3.71,2.49,,,,,,,,,,,,,,
10,Alert semester 5,01-2021,28e,True,,3.81,4.19,,,,,,,,,,,,,,
10,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
11,No Alert semester 1,01-2019,,,,6.35,6.35,201920,60 - PSU,M,Vigente,VII R. del Maule,Particular Pagado,386,728,727,2,243,S - Soltero,Ambos Padres,Isapre Ing Salud S.A.
11,No Alert semester 2,08-2019,,,,5.43,4.51,,,,,,,,,,,,,,
11,No Alert semester 3,01-2020,,,,4.9,3.85,,,,,,,,,,,,,,
11,Alert semester 4,08-2020,28e,True,,3.96,1.13,,,,,,,,,,,,,,
11,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
11,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
12,Alert semester 1,01-2019,"28a,28b",True,,2.38,2.38,201920,18 - Beca Excelencia Académica,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,300,577,116,2,790,D - Divorciado,Hogar de menores,Fonasa
12,Alert semester 2,08-2019,"28c,28d",True,,2.79,3.21,,,,,,,,,,,,,,
12,Alert semester 3,01-2020,28e,True,,3.78,5.76,,,,,,,,,,,,,,
12,No Alert semester 4,08-2020,,,,4.44,6.41,,,,,,,,,,,,,,
12,No Alert semester 5,01-2021,,,,4.79,6.18,,,,,,,,,,,,,,
12,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
13,Alert semester 1,01-2019,"28a,28b",True,,3.28,3.28,201920,60 - PSU,M,Vigente,X R. de los Lagos,Particular Pagado,10,736,211,1,297,,Uno De Los Padres,Isapre Ing Salud S.A.
13,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
13,No Alert semester 3,01-2020,,,,4.06,4.84,,,,,,,,,,,,,,
13,Alert semester 4,08-2020,28e,True,,3.82,3.33,,,,,,,,,,,,,,
13,Alert semester 5,01-2021,28e,True,,3.77,3.64,,,,,,,,,,,,,,
13,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
14,Alert semester 1,01-2019,"28a,28b",True,,1.18,1.18,201920,60 - PSU,M,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,642,385,552,2,345,,,Isapre Vida Tres S.A.
